référence,prix
20722965,5.49
75278172,46.01
84754705,7.3
21560808,25.6
7678760,37.43
62187121,26.27
16516130,33.61
77510291,46.69
48190115,13.69
79221323,26.53
9300668,22.66
51511534,18.45
7412406,19.72
52309482,48.53
12702709,10.28
33162783,0.47
8579763,44.24
19440061,3.84
56428898,27.85
58766546,31.77
79966300,48.6
49537145,1.54
22003224,24.09
23111081,2.58
22039449,5.42
83443048,32.89
30472535,11.16
83111753,12.36
96250725,2.67
75816986,5.65
6507941,9.32
61717785,24.07
18298287,12.5
99903261,37.68
95020237,34.73
61551711,19.87
44392636,46.86
45959002,21.33
61921491,4.92
39377207,48.34
83736139,33.35
42740169,44.58
10255321,30.3
65820103,21.22
42741210,5.69
25516000,34.34
95165132,5.6
11042679,20.42
94331201,36.07
8178909,17.83
8875625,17.61
39255607,10.47
58685813,43.74
71123177,5.67
46306222,19.51
95514781,39.68
57103167,48.49
72410871,25.51
59491178,2.24
62771811,35.0
58604559,30.52
74577900,37.04
79644212,30.33
38605455,8.03
76069609,8.76
39195373,3.03
1679755,4.16
32263250,26.07
46229656,3.42
15822232,33.71
68026151,16.77
97442086,5.95
20257933,34.34
87531899,6.27
31917817,15.22
74298555,15.12
24072090,13.34
40884289,18.28
42740105,14.16
86643603,2.68
62296594,28.77
36268594,0.27
97639966,17.43
75272830,26.47
28139293,0.55
12806437,3.47
14921317,44.71
39998384,10.34
24306310,6.91
10580001,39.35
76748100,40.44
84155952,31.87
56233174,26.29
75466330,46.28
73665495,39.74
82215307,39.26
72395744,10.84
12649051,7.9
18515906,6.63
20892976,3.91
74091364,8.7
129976,2.13
16918937,16.94
79622401,17.64
28113492,15.04
56120906,5.26
48719071,1.78
33020971,36.95
54469566,65.96
57060663,21.63
35988676,41.09
72015359,30.48
45201501,10.42
33433786,43.43
82198267,17.12
36505047,34.59
23140201,6.79
1610367,50.04
78712585,8.87
99639137,15.47
26897372,26.33
2027401,13.83
90696944,26.03
256267,45.46
91923020,13.71
39541689,14.45
23473565,45.8
72229087,12.69
6292542,2.2
9152415,5.51
23103635,26.64
67682168,19.4
37911816,106.64
73162271,11.18
72439059,14.87
65376374,4.24
17901094,9.1
57109056,45.0
31670237,43.11
12466251,15.5
15512616,17.52
19318284,0.52
75114453,29.88
85879153,8.61
23325623,30.39
72961972,37.0
80470587,28.15
5256162,93.84
21960193,43.06
21627982,29.11
20203656,42.63
89139779,25.3
41703440,21.35
86975721,5.96
79620728,5.51
42679647,29.74
17111060,40.84
50926068,112.12
97395048,174.68
16476475,2.25
2651972,19.43
30994604,43.47
61900254,194.8
10614667,1.55
59154827,36.79
79168403,48.11
57758601,3.52
89336352,6.92
90567714,31.19
71240307,46.94
8180063,4.07
22981966,11.11
32305644,55.84
17446631,30.23
71363842,25.94
96948353,47.89
80689753,4.3
16255933,15.86
80691830,20.8
30090023,15.61
57989998,9.82
49957190,32.27
10256796,18.52
67982304,37.34
12460941,27.57
96713005,24.0
55931670,7.76
69468479,48.44
90278558,30.54
42267270,34.3
12976755,50.79
68085889,24.69
12846985,13.56
8736089,5.88
14659796,22.35
63830113,1.6
91243743,5.42
21874215,40.94
66401790,1.52
91222198,39.7
91090880,47.74
94831511,9.28
40444885,48.78
94455568,16.5
24158169,7.96
6052208,34.02
80155544,16.88
33433185,0.5
35754569,16.96
35101598,1.41
45500254,37.87
2652857,21.51
75620144,29.76
1889194,21.32
38179040,28.63
70147571,35.24
25884057,21.16
76930434,31.84
20233716,27.0
24041144,37.72
27068436,31.24
10306537,0.44
52087279,42.39
51598296,31.88
81566514,10.84
96263319,45.64
27362511,21.89
78390064,50.55
32761717,47.73
77856825,20.64
52994368,2.68
10882520,34.61
23090680,26.45
56826053,32.95
20515595,4.45
91080546,14.58
37332110,30.23
94646306,20.31
93026827,36.95
38076061,45.86
47630938,12.93
23311474,46.45
97189103,3.5
96361421,10.89
90234966,6.19
26838833,8.85
71147375,25.07
90785705,24.69
95838799,13.51
99724419,21.46
83597007,41.34
41539652,6.89
63618274,4.57
77164988,28.33
62997966,174.28
78446157,13.69
48513231,14.48
96670179,10.22
96985020,16.02
12705011,47.79
42471794,21.11
78020841,5.03
82217462,35.99
1666992,16.78
54411734,17.95
38991422,4.53
45575744,15.81
5882849,7.68
17807781,37.3
24572920,44.13
89760822,40.09
34323145,35.28
11597489,35.75
49145339,8.91
3465982,8.72
18584386,20.41
8705744,2.82
21917795,49.57
74316590,42.62
62327902,3.3
61770478,0.57
6302783,24.53
89177404,27.51
19649237,0.69
99427035,33.33
37420771,47.3
77793587,8.48
87196997,14.78
20923128,201.12
99966472,9.89
19064726,49.75
41995120,38.61
98165283,45.16
6514145,11.58
81946776,25.5
69444950,36.62
43760878,10.16
70779264,32.92
88949138,12.71
46442733,26.45
27430225,18.16
8938082,14.37
62306502,6.56
20941129,31.21
79309042,29.79
33691190,7.12
72013087,43.46
92221113,37.46
85318798,13.16
59262474,40.66
39883959,47.56
98659612,0.05
34620020,5.21
80382813,6.65
20583149,28.52
21640291,16.03
54866446,47.53
43666522,32.05
94992040,30.45
45323713,36.74
40549666,24.05
68667267,17.13
23690928,36.23
30623042,14.36
36709462,11.0
16469724,35.98
6357901,23.7
6125680,48.07
60104981,38.1
31811486,6.08
81099926,47.56
6588119,33.77
59998045,1.68
1669121,15.08
819597,39.59
46184538,30.23
54988502,47.67
70446336,30.63
56841501,30.4
30414180,41.37
24875874,126.48
28015577,11.87
56615374,10.29
88385,28.1
32191565,9.39
75876413,39.27
76515681,18.08
93436289,43.74
53534060,19.56
56628907,3.08
16639745,43.07
31631450,48.61
43975930,39.96
47768935,12.68
16517168,23.69
35222252,13.01
23322145,10.01
94581338,37.97
68263520,2.23
34342706,20.52
91859398,0.52
92381808,3.46
27606371,30.0
76536085,47.25
6806447,32.87
28601413,40.39
52836814,47.84
34964749,12.85
54242727,5.8
873754,8.39
43288044,10.4
50045713,34.52
25760904,36.6
52004819,46.61
20548531,36.57
5816882,11.71
77406651,16.64
85147869,0.64
60368990,38.62
37729382,11.96
30745428,15.13
87308844,9.79
74843045,42.56
3860161,38.49
22945137,24.86
43871656,9.26
31618092,9.31
46372891,24.5
71772675,47.31
76652516,12.43
14522201,15.3
80799967,33.11
34297535,50.86
61509156,30.05
16770548,23.3
57671908,4.32
97725926,30.67
1461421,10.75
63500378,14.74
23217160,28.88
11610399,4.96
58344029,46.39
53369697,11.99
94205656,44.99
87225861,12.58
5054325,13.54
8269726,21.77
85247625,27.15
34970072,44.36
88147158,46.43
75808194,10.08
57514613,17.68
35878884,0.27
26880009,19.0
18901905,18.31
90317745,11.42
55338037,4.65
33165040,20.82
76393433,33.84
21188989,34.07
24649122,10.88
70468976,47.88
27536433,38.59
17437146,34.25
45157858,14.52
24590934,64.8
73299691,22.54
94264009,0.08
20584278,135.52
8961838,46.8
41273707,15.31
54073080,30.72
78056816,4.51
66124511,35.0
26214972,10.03
36659493,25.06
30203862,28.72
50598155,34.11
30298379,7.05
35357172,29.82
55489179,40.4
81206931,21.22
45629811,20.51
38076094,6.86
64873505,16.57
76299808,17.18
72410975,0.83
76201519,22.28
42153585,35.33
34467293,5.52
49337793,37.98
55648956,21.04
5022876,24.95
56631358,9.54
32490789,6.3
96023447,49.43
55118418,4.33
97602455,45.78
5896473,36.87
19588715,10.02
12656674,30.19
35535597,18.29
61467157,3.95
2376265,38.16
44877537,11.08
70313843,0.85
78847898,3.35
97626479,25.96
75720077,27.29
47845097,2.62
54999328,20.47
18189766,0.65
41482261,19.0
7691951,3.08
45631576,22.91
60888838,44.89
66988671,44.03
70848892,18.01
96967805,39.42
30559675,28.05
22438490,0.67
34365971,47.98
45308178,14.96
70791369,5.68
45155382,12.6
23932996,6.09
61990383,13.09
39253110,19.62
12888383,24.84
65749103,8.37
28352652,43.12
36276725,12.71
86849478,82.44
90324098,47.75
8876543,43.6
86327003,8.39
97471969,2.19
11719491,2.9
59652680,15.55
86025836,9.17
78212664,140.32
52916309,11.63
24140630,30.63
43342668,65.12
41345990,5.45
61732755,5.84
30195018,12.76
63936666,163.8
59598257,43.96
82449659,48.55
35767088,12.2
60698473,26.54
59104875,7.34
84829370,41.76
9573252,37.95
71401618,2.95
53913779,48.18
8986978,8.64
7375829,8.46
47145566,13.31
37579672,13.35
3966616,18.34
66427238,29.31
90425459,22.73
97690770,65.28
52098904,15.29
73811773,9.58
63878881,8.25
64245750,7.14
97350355,6.68
53330389,12.8
31408573,0.55
41058438,14.85
42120782,49.59
6330143,0.6
52295049,20.61
26456188,46.27
49036457,45.97
30157120,12.18
83633990,39.12
3132980,44.82
73240202,2.18
80305306,16.22
73550236,13.72
38358081,46.65
51210905,50.87
10588439,2.3
57952670,28.35
43687009,4.55
93819892,33.53
30159182,7.42
7035404,4.83
48748363,41.01
30932510,9.03
12151905,8.17
35548826,12.19
31682705,45.6
68185460,10.22
7267370,39.83
8795492,30.91
89796988,5.82
47069364,40.48
13613181,28.41
59172431,25.23
84946943,40.71
1348405,23.55
60755944,8.86
52023685,4.2
4959457,39.7
12207592,48.22
36877112,50.72
95782852,3.7
60306408,101.84
22864634,31.59
77676401,9.09
56416248,24.11
39859243,0.5
71383328,17.56
85945218,33.44
87428748,29.56
82431018,25.24
29469819,43.07
60254575,27.4
84502451,47.45
23217370,9.14
22447918,39.51
38471175,39.73
52553808,14.12
73915985,28.34
44025791,28.63
3026848,41.43
28706142,34.68
71429083,22.59
59859716,7.27
26934673,16.69
29443384,49.52
25421289,27.21
20017978,37.3
76548486,14.38
59009692,12.89
65852178,7.94
12330241,1.84
97456767,46.99
42324494,12.78
80852740,35.37
34687065,9.99
38468008,11.76
88723557,36.87
93287922,14.9
29214071,13.65
31918695,32.27
21695239,40.14
46206660,5.04
5698721,13.6
95354485,43.75
52886223,43.2
27774518,1.9
38467588,45.32
44161943,14.28
49058556,7.6
3678517,35.09
79072937,5.62
40452067,35.22
5785654,16.05
71723351,15.58
48238217,20.72
29538538,38.76
47027182,6.52
93750924,3.5
92304475,44.83
25344347,2.62
38406092,10.75
73931369,35.46
21354563,13.23
85734769,9.43
93370649,27.73
3907233,36.49
32635045,33.15
18106873,0.5
29231281,44.0
34194967,13.16
4846816,50.96
73754564,14.15
34134092,6.97
83788411,3.25
93028057,12.22
92374464,4.56
27640758,26.9
38858507,8.96
2279544,48.1
20912846,4.01
97271336,1.05
24387938,23.84
7486657,31.44
44021942,11.2
79262448,32.87
93825987,6.73
94435479,48.41
61085369,27.41
30366964,5.35
56991933,31.34
27696276,130.16
899470,16.05
41207863,6.34
85282697,38.48
64729550,22.59
50042522,4.02
31265639,48.7
41001637,40.19
57120894,163.72
77008263,16.7
19929627,36.3
89753085,23.23
83235393,31.78
35496599,27.81
9180421,23.9
27968548,29.12
88089503,41.43
71138363,16.27
67182108,1.17
53771762,29.9
8356079,32.42
26675949,9.09
96286486,30.42
88891501,42.29
11232222,39.82
43526327,35.57
5313141,35.94
62701928,8.14
24367988,41.47
19978790,22.21
95348240,4.38
89118421,16.42
66896122,4.55
59645596,25.64
80798406,19.06
51635422,50.73
43012655,10.61
68682650,20.52
53371794,0.14
85094131,20.06
42349441,21.37
13073854,33.53
57574678,14.3
94774428,20.93
54212715,7.23
99426077,8.99
55031534,43.08
49494933,48.16
71352932,6.85
38299023,15.67
40665500,47.72
20387715,20.35
79399011,21.09
67715649,38.55
94852013,37.57
59782543,14.17
50214526,11.28
71141549,16.68
33596030,26.4
36444932,23.27
47917085,33.21
15409842,7.93
93946132,5.83
84601749,2.15
61838866,34.28
91007263,11.04
31975387,2.9
37936621,14.99
25591257,31.04
36626774,43.51
90544284,125.48
62329569,26.3
48553581,8.68
88225053,9.87
57111270,2.39
68648849,1.66
11573673,34.88
98251365,26.18
82209979,20.12
55072089,1.38
73293887,22.7
87338561,14.76
31286700,95.2
10318436,49.85
33024400,32.76
63890468,27.02
33526294,50.64
41592920,31.51
60950548,48.53
36605331,4.68
63936066,41.23
69655607,13.35
76320258,4.85
53263183,46.4
86209697,9.65
72097679,13.23
11599646,18.87
16608968,26.07
26886664,0.15
17459146,16.67
35259895,28.14
64808307,50.48
66389085,4.85
28599367,26.07
20840005,41.56
51987188,0.35
85579648,5.52
1641699,14.89
21819798,24.11
91158076,28.07
22776161,18.12
81339236,50.22
78361911,16.09
29700645,50.11
3197811,3.01
3087703,5.54
58675973,49.7
50164908,10.54
4161151,13.15
56114125,46.76
85462057,2.68
62768756,43.56
76168473,3.91
57549531,14.59
99186526,21.1
11525579,25.38
57127407,2.01
84957067,37.61
49115420,0.86
33354162,11.28
51911616,1.36
17429968,18.46
19234425,13.72
95863621,8.53
99425813,33.18
1546567,50.59
97115783,22.81
96858132,13.35
40233682,43.59
11342754,5.4
26950171,32.27
46144388,0.15
97371999,33.91
10943681,9.78
77275607,49.8
82714146,42.97
52142746,2.38
38573382,31.09
19840066,17.42
63500721,37.27
46564664,49.91
75864185,14.19
32610211,22.82
26557039,32.87
94874372,30.81
96404821,6.45
32800978,15.8
64638210,1.33
54294331,1.37
86062320,170.84
52042776,41.86
36470127,49.39
39955795,18.46
77120321,44.94
839628,104.36
65955004,45.1
88207829,46.07
43337848,35.44
8524076,14.48
65091550,19.33
2173533,23.78
24044148,93.52
99383641,5.99
59163588,184.44
87519724,24.21
51905876,39.22
25128482,9.34
99698810,46.46
11182386,27.45
51909937,5.11
65741082,24.15
30499390,40.0
56271722,29.85
21965553,38.58
47004378,40.91
37756748,14.66
12049086,15.54
76150383,0.7
13744289,11.07
73767486,42.97
76234654,4.05
91096601,16.48
25263185,46.41
11095105,4.69
40060564,50.91
46586708,13.34
8640774,97.64
92993198,34.51
69844514,47.24
57593637,24.36
61889789,23.32
5931329,28.97
88488125,49.28
39323009,29.76
85060626,12.76
9014558,13.33
22708122,5.28
67260756,40.92
6601706,13.65
63224452,24.5
15705704,11.62
10404885,0.88
59581454,0.6
82510560,106.92
59280591,18.97
87351284,46.37
80220371,11.77
12343375,9.01
24406462,27.89
36890487,14.14
65241330,14.77
34926588,4.56
22001211,32.98
7396390,30.87
99384887,10.51
33209370,121.32
22816300,16.02
26436155,38.19
8897914,48.16
4698103,38.69
95882894,43.21
60587430,37.26
2656183,17.4
48839439,33.32
13792433,6.11
72418341,13.08
25212818,7.45
3119860,1.49
77960317,35.84
69745101,21.75
75679148,38.37
87613150,6.8
93157252,13.69
71807658,5.51
52724794,39.12
35194498,50.44
66721294,35.55
28694775,48.04
11186360,41.82
50704662,7.43
94409059,9.32
95592167,50.68
98975653,16.84
22322214,132.0
70353551,38.23
76806717,23.51
59767744,25.27
51232942,22.07
29573823,36.2
69027451,50.02
73961428,23.17
5003320,3.16
18374157,42.28
56840311,34.48
43079706,98.24
42250406,41.72
66990567,10.14
88465243,18.58
99849266,15.45
27560187,11.28
42015750,9.57
95562815,29.78
38676264,44.62
43925285,7.55
25032517,23.51
25768244,40.37
79320513,14.2
61564826,42.21
28879095,9.72
73238758,17.9
71591196,10.01
61750758,2.6
67323828,14.33
87050813,39.67
49910259,12.85
68402234,37.87
31327216,18.86
77341606,43.0
10866204,54.8
35807823,50.23
16171778,6.75
35984696,17.09
7424173,26.11
82335813,16.41
63992978,6.62
42539524,43.89
19594107,32.1
60341625,38.78
92826043,38.63
38274678,177.88
20535866,8.11
44832896,10.25
87943190,36.55
21842510,0.81
11464383,13.66
26165544,50.79
35344801,46.01
83904547,12.48
91296697,19.23
36710096,3.5
65125849,13.75
32270733,42.46
50068757,50.58
86013222,49.91
47938020,12.7
92972231,25.03
46848773,49.49
6529907,24.55
50072049,49.37
35415081,12.16
9681547,15.08
25934455,4.83
27355584,17.78
94436083,8.92
10566325,16.96
50810192,3.23
71390474,19.58
23407053,49.83
70138933,28.28
11734427,36.38
25505197,35.21
45894037,4.36
95537928,10.41
32041396,14.12
79117480,29.27
53808308,9.83
55810976,42.42
82326235,8.34
90368434,29.97
58807948,22.63
52945803,43.12
81184759,22.73
4223843,43.76
11548569,41.62
34266771,14.02
49401003,37.63
71308712,28.28
68641712,38.99
71532813,14.7
46487369,18.68
53061762,0.38
42865948,28.82
41438516,8.03
48322624,15.93
33715860,50.17
34381199,29.95
50953144,40.37
85315941,32.6
62366786,46.89
5288522,25.45
92696137,17.16
32004947,30.06
48787662,16.42
94595318,17.85
83655741,16.31
8761612,49.63
78684902,18.6
8070186,12.13
7624551,42.85
146072,4.49
35729587,14.54
47291955,46.28
39274354,13.74
34128679,13.35
67883548,19.81
89504849,4.96
38391907,34.53
94694396,33.32
74398055,40.24
19056116,26.12
53255712,21.24
60815095,15.05
64802265,22.98
99730757,1.13
8957522,8.76
38820112,14.42
40255522,14.17
331667,5.72
31079774,3.83
82617793,23.49
10875087,20.04
39668636,16.54
87679823,10.08
29965474,11.73
49121774,10.94
14293996,42.32
66521091,3.98
22488756,8.09
69405564,34.2
460470,43.13
10409849,38.11
48308753,28.1
15561898,27.49
41186647,2.88
88134004,9.44
51033946,41.11
78871227,0.76
54089089,46.18
78791487,2.18
58569702,33.18
8225243,14.92
42278500,13.41
62849027,41.61
29262364,20.38
63958413,15.02
68216831,33.65
97497125,8.4
72041518,50.34
99406404,188.84
40008183,0.85
13827555,16.18
60209691,17.51
4564368,100.16
24920553,5.42
58414367,17.92
93646533,29.77
16733868,33.25
46442431,11.87
46207252,3.06
15551572,18.56
88128838,2.46
92252816,46.19
64432855,28.68
2627287,3.61
26766825,25.53
16689584,15.81
43488028,39.96
4665467,34.66
53467596,43.99
86266768,14.09
53114335,35.6
17567362,27.03
69535489,16.93
55814058,176.16
15086439,44.42
43022781,32.03
26133238,35.1
51118639,47.83
84084455,16.77
46935052,5.73
1063687,5.93
6791707,43.82
20234278,0.3
32172266,13.84
20395473,2.96
67051996,34.61
27655226,42.12
72469857,20.44
49492890,107.12
97133374,29.65
16556906,22.74
68593129,1.42
24615010,1.27
58555438,8.4
46603523,23.0
90101401,35.46
23337571,7.19
39428119,0.54
45024409,50.86
2767936,4.87
36629389,25.63
50262340,11.7
98887727,39.09
73112686,11.58
8651327,24.45
96389431,45.33
17085635,9.99
14007435,22.33
1635976,23.12
44852803,24.27
43650392,41.31
64850094,178.4
51928224,17.04
1912620,17.99
34888331,11.47
905422,5.56
